0,index,helpfulness,review_title,total_hours,diff_date,text_content,user_name,game_count,comment_count,xp,review_count,friend_count
75,75,1,推荐,113.1,1259,点卡时代就开始玩这款游戏，如实说当时无论从界面还是从玩法上都是同类游戏中的极品，可惜被代理玩坏了，高级别的船迟迟不开库存，好点的船都要用点卡换，交易房都那么火爆，现在已经物是人非，再次登录后船员和船都没了，感觉很难过，现在来看大海战有点像没人认领的孩子一样可怜，代理商低价来回转手，已经没什么信心玩下去了，说不定哪天又换东家了，游戏画面应该高清重制，画面细节再逼真一些，目前这种情况只能是怀旧档了，做游戏坑太深，不舍得花钱做不起来。,linggan3268,1,0,0,2,0
76,76,1,推荐,260.1,1116,喜欢二战的大舰炮击的玩家最好玩这游戏，简单可以，复杂也可以，你会迷上的。,332874085,1,0,0,0,0
77,77,1,推荐,129.1,1108,"还行吧,看个人爱好，个人爱好二战类型。",495259152,1,0,0,1,0
78,78,1,推荐,229.2,1069,haowan\,鹏鹏鹏,1,0,0,1,7
81,81,2,推荐,218.9,1080,免费获取的产品很棒的游戏，经典的伪3D海战，十多年的美好回忆，硬派军迷不二选择。坑钱的国服代理商狗合终于完蛋了，新代理商很棒延续了美服的体验。,John Smith,2,0,0,2,77
83,83,1,推荐,250.6,1030,免费获取的产品非常好的海战类网络游戏，纯手动操作非常令人上瘾！2003年当兵期间玩过，07年工作忙就断了，2020年老玩家正式回归。各类游戏千千万，感觉只有这种的与众不同，好游戏~！！！,sisang0083,7,0,0,0,0
84,84,1,推荐,686.3,1023,很棒,3055850,4,0,0,0,0
85,85,1,推荐,7.5,1023,值得回忆的经典，希望早日能够4K重置,XueZhang,228,0,600,3,78
86,86,2,不推荐,0.3,27,single player,Find some Weed找些草,192,0,500,33,0
87,87,1,不推荐,0.1,290,小游戏，没有任何可玩性。 可玩性极低极低！！！！！！！！！！！！！！！！！！,二哥,5,0,0,2,22
93,93,1,推荐,59.7,1282,儿时回忆,bluexxl,1,0,0,0,0
97,97,1,推荐,242.3,1271,相当有游戏性的 海战经典游戏,BorjiginNM,12,0,0,0,0
98,98,1,推荐,238.3,1270,相当好的海战游戏，唯一的缺点就是把舰船名字都删除了，以前还能了解下各国的战舰的说,649201149,1,0,0,0,0
100,100,1,推荐,189.2,1266,老游戏了~,____Forgotten,66,0,0,1,7
102,102,1,推荐,72.5,1252,免费获取的产品爷的青春 回来了,270437877,5,0,0,1,3
106,106,1,推荐,990.1,1200,非常棒,地理老师好,3,0,0,1,53
107,107,1,推荐,355.4,1198,值得玩,痛打香港废青,3,0,0,0,0
108,108,1,推荐,9.7,1185,相当不错，玩了10多年了,齿轮,10,0,150,1,24
109,109,1,推荐,132.5,1182,传世经典,GKLeo,47,0,0,8,3
110,110,1,推荐,325.4,1181,老游戏了。很喜欢这个战斗方式和船只配置的方式,wyz102,1,0,0,0,0
112,112,1,推荐,396.4,1174,这个游戏玩了十几年了.熟悉的味道，熟悉的老友，熟悉的背景音乐，网游泛滥的年代依然还能保持曾经的那份感觉真心不易。,378730699,8,2,0,1,0
113,113,1,推荐,85,1172,如果可以全屏显示就好了,kenolin,36,0,0,1,2
114,114,1,推荐,104.5,1171,很久以前玩过 挺好玩的海战游戏,一笑,2,0,0,3,2
115,115,1,推荐,513.5,1162,号,sheepmouse,5,0,0,1,10
119,119,1,推荐,24.6,1177,免费获取的产品满满的回忆吧！那时候狮子很硬，要4-500百好像。免费船当属Y国纳尔逊，他们都叫老衲。还有Y过得防空机枪雷声大，实际不咋地。R国的鱼雷，特别是放鱼船，出门就撒一大片鱼苗。D国的侦察能当战斗，还有潜艇SS4出水就是机枪扫突突你。法兰西的飞机是核动力的可以叠好几波。野海都要航母禁战斗，不然要踢你出去。战列舰BB是最难的上打灰机，中对线，水下还要防潜艇。可谓一心3用不是吹！幽灵船，水兵延迟转相当NB。里面的人很好，新手在交易区叫一声大哥帮帮忙，不认识的大佬都会给你很多海币海点。,PAP丶瘋豿,17,0,0,2,2
122,122,1,不推荐,2.9,1109,客服的态度仿佛我杀了他亲妈,紫宫基琉,3,0,0,2,2
123,123,2,不推荐,0.5,1109,大海战也算是颇有波折的一款复古情怀游戏了，辗转几个代理后落到了酷派天空这里，看到这个名号就想起了GTASA，对玩家而言没有黎明。,☆日理万鸡♂,656,0,100,3,29
124,124,1,不推荐,0.1,1109,个人觉得这是一款史诗级的游戏，但是对于现在的计算机设备水平有点过于落后。画面效果堪比马赛克，已经开发到了WIN10兼容之后还是BUG频出，时不时闪退游戏。最后就是对于刚刚回归的新人来说，提升实力太难了，唯有氪金是正道！,勇哥,1,0,0,1,1
125,125,1,不推荐,0.8,1108,客服硬核的没话说，太公平太公正了，而且太有时间观念了，找他们换个船等了三天才给到手，水兵都凉了,山泥若1号,3,0,0,1,4
126,126,1,推荐,3.8,1104,刚回归了，发现了几个BUG，导致游戏体验有点差一：F4顺次射击没反应，SS居然只能齐射。。。二：居然没法全屏了三：窗口化，导致往下调节视野很慢，有时候直接鼠标出了游戏窗口希望能早日修复,小小琴佑,4,0,0,0,0
127,127,1,不推荐,0.1,1084,闪退,埃塞克斯級提康德罗加,22,0,0,0,0
128,128,1,推荐,18.7,1060,人太少 就一房闪电战,84771986,37,0,0,3,0
129,129,1,不推荐,10.6,1068,玩游戏二十多年，第一次碰到这样的事情，真的是非常恼火，在没有任何真凭实据的情况下被判定违规，仅仅因为说了一句企图违规的话，然后并没有对此付出行动。客服唯一的判定依据就是我想封你，就封你，爱玩玩，不玩滚。自己制定的规矩自己去破坏，打着公平公正公开的幌子招摇撞骗。还美名其曰自己严格管理，其实就是为了掩饰自己的错误，不予纠正，拿玩家如草芥罢了。更何况我在多方面都给你们了负面评价，更不会得到公正的待遇了。几个玩世不恭的人坐着管理的位子去肆意妄为，请不要责怪别人予以你们的评价，你们应得的！,百代易长,547,0,100,15,96
131,131,1,推荐,0.3,1037,情怀游戏，里面有很多当年的老玩家优点：独特的海战游戏，讲究战术和团队配合，有着不错的游戏设计思路和独特玩法缺点：画面老旧，如果不能忍受请不要玩,大头干吐了,411,0,550,8,42
132,132,1,推荐,478.3,1027,通过steam可以用繁体中文了,gw97xl,10,0,0,0,0
134,134,1,推荐,0.1,809,太经典了,MIKElove1988,45,0,0,28,2
